PID,RESPO,SAC_RCBF,VSRL,GAN_SPV
7,8,7,8,10
12,7,3,9,22
12,9,21,8,16
11,9,3,8,19
11,10,4,8,21
5,5,3,9,9
9,9,4,8,13
7,7,6,8,15
25,6,4,9,12
6,8,5,9,12
11,12,4,9,23
7,7,6,9,13
10,9,4,9,22
10,9,6,9,18
7,11,8,8,10
7,13,7,8,15
5,5,43,9,9
5,5,3,8,10
7,6,6,9,11
5,5,5,8,15
7,11,7,8,15
12,10,5,9,19
7,9,8,8,11
19,8,5,9,17
6,9,7,8,18
7,6,5,8,18
22,8,7,8,13
33,12,4,9,25
10,8,10,7,16
18,10,7,7,12
6,6,6,9,11
7,13,7,8,15
11,10,4,9,25
6,6,4,8,17
11,10,3,10,26
6,6,10,8,18
5,7,3,8,12
27,12,4,8,15
10,12,3,7,18
11,9,3,8,19
7,7,6,8,15
6,6,6,9,15
5,5,3,8,10
10,10,4,9,25
6,6,4,9,11
5,5,4,8,7
5,4,6,6,7
6,7,6,9,13
6,7,6,9,11
7,8,5,9,12
7,11,7,7,11
5,5,6,7,8
8,13,4,10,20
5,5,3,7,13
7,13,4,7,18
5,5,8,8,8
15,9,3,8,22
8,9,5,9,22
9,8,7,8,15
23,9,3,9,12
6,6,6,8,19
6,6,4,8,17
6,6,4,9,10
7,11,7,8,14
10,12,4,8,16
10,10,4,10,25
9,11,8,7,16
7,7,50,9,13
6,7,3,8,10
7,7,10,8,16
6,6,11,9,15
10,11,4,10,27
11,10,4,10,23
5,5,4,8,8
5,10,3,8,12
6,5,4,9,9
7,12,8,8,12
12,11,4,9,24
7,9,3,7,18
10,12,10,9,14
6,6,10,7,19
11,10,4,9,23
5,5,5,9,9
20,9,6,8,13
6,9,3,8,22
5,14,4,7,14
6,8,7,8,17
5,5,6,9,10
7,7,7,9,12
10,7,5,8,15
11,14,4,10,27
7,15,6,9,14
7,6,7,8,16
11,10,7,8,18
6,6,3,9,12
10,10,5,9,17
7,10,7,8,14
10,12,4,9,25
13,8,6,9,13
7,8,20,9,11
5,5,4,9,9
8,6,6,8,18
5,5,8,8,9
8,10,4,10,29
8,8,7,8,14
27,12,4,9,23
6,12,6,9,12
9,8,6,8,18
10,12,4,8,19
11,11,4,9,22
7,6,5,9,14
5,4,6,6,6
6,10,4,8,19
12,8,4,8,20
9,11,5,8,21
25,12,5,9,12
5,8,3,8,13
7,7,7,8,15
6,9,6,9,13
5,4,5,6,6
5,5,6,7,17
10,10,4,9,25
5,6,3,8,13
5,5,5,7,15
10,13,4,8,18
12,10,4,9,22
10,13,4,7,17
5,8,4,8,14
6,6,8,9,11
5,5,5,7,15
5,5,4,8,16
6,10,6,7,15
10,11,8,8,17
11,12,4,9,25
8,10,3,9,23
10,11,4,9,22
7,6,6,8,16
6,6,6,9,12
10,9,5,9,20
11,8,3,8,21
6,5,10,9,10
7,10,3,7,17
10,8,3,8,21
7,11,4,8,19
7,9,4,10,26
8,6,7,7,15
6,6,5,8,19
8,11,6,9,13
11,7,3,7,18
6,6,4,8,19
8,7,6,8,15
10,10,4,7,17
5,6,5,8,8
10,11,5,8,16
9,8,8,7,13
28,7,3,9,10
7,12,6,9,11
6,6,6,9,11
9,8,7,8,15
16,10,5,7,17
9,9,9,8,16
9,7,8,8,13
13,14,8,9,16
10,8,4,9,20
5,7,3,8,11
16,11,7,7,17
11,12,5,9,22
10,9,6,8,15
7,7,7,9,10
8,8,7,8,11
6,5,3,9,9
9,11,4,10,26
12,6,3,8,20
6,5,6,9,9
25,6,15,8,18
7,7,6,9,12
7,9,6,8,14
5,5,5,8,8
5,5,3,7,15
18,11,4,10,27
7,6,5,9,14
10,9,4,9,21
10,7,3,8,19
7,8,7,8,11
11,7,3,8,17
11,11,3,9,20
10,14,4,7,17
12,11,4,9,23
5,5,4,7,15
9,11,7,7,14
24,13,4,8,17
5,14,4,8,13
10,9,6,9,16
6,5,4,8,13
6,5,4,9,10
7,7,6,9,9
10,12,3,7,16
23,9,4,7,16
6,5,4,8,12
9,9,5,9,21
9,8,6,7,16
6,6,4,9,9
6,6,6,8,18
7,7,7,9,13
10,11,4,8,20
20,10,4,9,24
11,9,4,10,26
7,7,6,8,15
10,12,4,9,22
13,10,4,8,20
18,11,6,9,13
7,10,3,7,19
8,9,6,8,15
13,10,3,9,22
10,9,3,7,18
24,11,4,7,17
11,10,4,10,25
19,5,3,9,10
18,9,3,8,20
5,10,4,8,15
7,6,4,8,17
8,9,7,7,11
8,11,4,7,19
6,8,5,9,12
6,5,10,8,9
14,9,3,7,17
10,7,5,9,12
11,11,4,8,21
6,8,5,8,17
5,6,4,9,10
