PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
22,40,46,38,53
100,32,30,23,100
39,52,58,51,52
100,36,47,35,95
100,46,63,37,91
76,28,54,26,62
100,58,62,53,100
100,38,49,37,100
22,35,35,33,51
100,37,44,29,100
100,40,51,31,71
81,41,47,40,78
62,31,24,23,91
100,38,23,28,100
20,40,33,30,67
100,64,56,100,96
93,50,57,49,90
100,45,57,35,100
86,61,59,100,87
33,41,26,30,83
18,60,61,96,73
100,60,61,100,90
15,51,57,50,41
100,58,59,83,100
69,39,44,38,100
100,45,58,36,81
100,49,35,40,100
100,63,57,100,96
56,34,34,33,83
100,45,58,34,98
100,31,37,30,80
13,50,58,41,44
100,40,32,30,100
18,38,37,37,55
30,36,31,34,51
100,49,37,40,90
19,53,63,45,61
100,28,42,26,100
100,58,62,100,85
100,35,34,25,76
100,63,58,100,92
100,29,33,28,100
100,44,33,33,100
34,57,63,69,76
30,30,44,28,82
59,30,22,22,75
24,50,40,42,65
68,38,36,28,61
33,59,61,100,99
90,44,23,34,75
100,41,45,40,100
100,61,60,95,88
100,37,44,35,100
100,52,65,44,100
100,59,61,100,100
100,47,54,46,95
100,31,100,23,100
82,38,22,29,76
100,49,55,48,99
100,29,33,27,100
100,30,39,28,99
29,43,58,32,78
100,23,41,21,83
100,43,52,34,97
15,40,46,39,72
100,40,47,39,100
26,38,26,29,100
84,31,50,30,63
76,29,36,28,100
100,27,27,20,100
100,52,42,45,96
100,39,36,37,80
100,38,23,29,67
20,46,60,36,43
100,54,64,53,73
100,40,28,31,79
100,47,53,46,100
86,35,100,34,66
100,35,58,25,100
93,63,57,100,84
94,31,36,29,98
100,46,54,45,100
72,44,100,35,89
38,41,46,40,53
13,27,56,25,35
81,51,56,50,86
100,47,37,38,100
75,22,39,21,92
93,35,32,34,88
100,53,57,53,100
100,29,38,28,85
100,44,52,33,100
100,53,57,53,89
100,55,57,63,88
100,62,59,100,87
100,62,58,100,100
22,59,61,100,55
88,42,48,41,73
25,28,21,21,100
100,42,50,41,83
35,49,100,41,100
24,60,59,100,59
100,47,59,39,100
48,59,61,100,100
23,31,17,29,67
100,33,37,32,84
23,46,53,45,50
15,43,50,42,43
37,52,30,41,92
80,35,21,26,90
100,45,53,45,95
100,26,16,24,100
59,27,59,25,60
100,50,40,42,99
100,38,22,29,84
100,59,60,100,92
100,42,29,32,99
15,50,64,41,49
14,47,45,38,73
100,52,58,55,100
43,25,57,23,90
100,34,38,33,62
100,42,42,32,87
36,59,59,81,91
81,33,23,25,86
100,40,47,39,97
100,47,51,38,100
20,49,55,49,46
100,31,18,22,100
100,35,31,26,92
64,56,62,50,63
17,42,47,41,51
16,49,55,48,46
100,33,48,32,93
100,47,47,37,72
100,49,36,40,97
100,36,33,35,100
16,53,58,52,44
22,33,100,23,55
23,49,41,41,100
100,49,56,48,90
20,42,49,41,100
100,47,63,38,87
97,30,23,22,72
100,38,47,36,67
100,51,57,50,95
82,40,45,39,74
33,48,60,39,71
97,39,49,38,64
100,24,43,22,100
93,31,43,29,93
100,56,63,100,65
100,35,45,25,82
66,33,30,24,100
18,56,65,100,97
30,39,44,37,100
100,45,52,44,95
100,31,46,30,100
80,29,17,21,85
20,51,63,43,59
100,57,62,52,100
100,50,56,49,99
100,26,26,25,88
100,60,60,100,100
100,38,46,37,100
65,42,50,41,85
100,42,49,41,73
49,62,58,100,99
100,41,40,31,100
100,41,47,40,100
16,39,57,30,43
100,59,62,100,100
51,37,35,36,67
100,36,35,35,84
100,33,28,32,100
100,52,66,43,88
100,59,61,100,100
27,29,29,27,73
100,57,62,71,100
100,31,21,23,89
100,37,24,28,100
18,40,26,30,94
59,58,62,100,74
100,41,39,30,92
44,44,41,35,89
100,35,29,34,95
100,44,52,43,76
100,59,60,85,100
49,42,48,41,61
100,33,28,31,99
100,50,56,41,100
100,47,58,40,80
55,42,43,41,82
100,29,55,27,100
100,31,52,30,88
79,54,58,66,73
100,31,33,29,84
74,39,36,38,82
100,36,39,28,71
38,23,14,22,74
19,36,45,34,64
14,43,100,34,60
51,46,62,37,55
100,51,68,41,100
100,41,47,40,84
100,38,45,37,91
100,48,55,47,86
18,29,47,27,68
100,56,64,49,93
100,60,60,100,83
23,37,27,29,56
100,60,59,100,100
14,46,53,45,37
41,50,45,41,65
14,33,24,25,76
23,34,46,32,50
100,30,43,29,100
100,49,62,39,100
18,47,55,46,43
100,34,42,24,100
100,42,48,41,100
100,34,59,24,100
100,51,54,51,100
25,59,61,100,65
100,33,22,25,96
100,33,24,32,87
100,45,57,36,88
66,63,57,100,100
79,59,61,100,100
100,59,58,82,79
100,27,48,25,100
13,34,45,33,40
57,43,100,34,83
100,46,53,45,100
76,41,42,32,65
100,52,58,52,82
100,40,47,39,82
26,45,53,37,57
15,49,40,41,45
100,59,62,100,100
100,47,54,46,100
22,36,32,27,53
17,38,39,37,46
70,51,68,40,62
18,32,39,31,50
80,60,60,96,68
100,51,56,42,100
100,38,49,36,97
100,58,100,100,100
100,48,35,41,100
100,45,65,35,100
100,45,46,36,99
95,43,50,42,69
100,37,54,27,83
53,39,38,38,56
24,26,51,24,100
16,56,63,98,66
43,33,100,24,88
100,62,59,100,80
100,41,40,40,87
100,48,53,47,100
57,43,22,32,60
100,55,64,49,100
41,38,32,28,52
78,63,57,100,68
100,39,30,29,100
100,54,59,68,100
18,56,64,50,72
100,59,61,97,100
100,57,63,99,100
100,34,42,33,95
30,34,24,26,73
100,61,59,100,99
100,29,26,22,100
37,49,55,48,100
100,54,100,46,98
100,30,51,29,100
100,59,60,100,100
28,44,40,33,52
92,41,47,39,80
63,27,36,25,80
100,29,45,27,95
55,38,27,37,56
95,38,37,37,66
61,38,36,36,80
34,45,61,34,93
100,28,56,26,87
100,56,59,75,100
100,59,61,100,100
100,44,60,35,66
100,58,61,100,100
80,32,48,30,100
51,58,61,100,100
100,55,59,69,100
100,53,62,43,79
100,48,59,40,84
20,50,54,43,46
90,62,58,100,84
100,46,35,36,100
92,37,49,35,68
18,48,61,40,81
64,60,60,100,69
69,33,30,24,99
100,40,47,39,100
37,49,55,48,92
100,40,46,39,100
14,60,61,82,61
29,41,46,39,72
100,41,51,40,100
76,39,48,38,92
15,32,38,24,94
36,47,55,46,94
100,44,50,43,97
31,50,29,40,51
22,57,63,50,100
100,31,42,29,71
52,33,33,32,87
100,32,32,23,88
100,52,65,44,100
100,51,63,45,96
100,48,55,47,100
77,44,56,35,91
100,44,64,35,100
100,29,27,27,100
100,48,56,48,100
42,37,20,28,65
52,39,38,29,100
18,49,56,48,79
100,42,48,33,100
100,40,21,31,100
42,32,43,23,78
100,54,57,53,100
59,48,55,47,88
83,44,61,35,87
100,42,46,40,76
100,54,48,46,81
100,37,46,36,100
100,47,53,46,100
35,57,63,85,54
100,26,33,25,75
100,55,65,47,100
100,56,60,80,83
100,60,60,100,84
100,36,38,34,90
66,42,38,32,58
41,57,63,86,66
71,37,38,36,76
100,39,49,38,85
100,53,57,52,96
100,57,62,54,100
100,53,57,52,100
100,40,35,38,100
64,44,51,43,72
100,27,100,20,98
31,58,48,100,71
79,52,58,51,100
20,24,51,23,43
100,42,48,41,83
100,37,53,26,100
100,33,42,32,100
42,34,33,24,54
100,39,35,38,100
67,37,100,27,64
100,45,51,44,100
100,52,63,42,100
60,58,62,55,100
54,41,36,31,61
100,39,21,29,84
50,38,42,29,91
100,41,47,40,100
39,24,34,22,70
23,45,50,37,52
100,54,100,47,100
100,48,55,47,100
100,30,20,28,100
100,33,32,24,100
23,28,56,26,87
57,40,45,39,65
24,45,62,35,100
78,55,64,50,70
100,44,51,44,100
100,55,66,46,83
100,46,52,45,96
